state,x,y
Alabama,129,-77
Alaska,-204,-170
Arizona,-213,-40
Arkansas,47,-53
California,-317,13
Colorado,-132,20
Connecticut,297,96
Delaware,275,42
Florida,210,-145
Georgia,172,-75
Hawaii,-317,-143
Idaho,-216,122
Illinois,85,37
Indiana,123,39
Iowa,38,65
Kansas,-37,5
Kentucky,149,1
Louisiana,59,-134
Maine,319,164
Maryland,268,27
Massachusetts,302,107
Michigan,128,101
Minnesota,13,135
Mississippi,84,-88
Missouri,44,6
Montana,-151,150
Nebraska,-51,56
Nevada,-257,56
New Hampshire,302,127
New Jersey,282,65
New Mexico,-148,-43
New York,236,104
North Carolina,219,-22
North Dakota,-64,158
Ohio,176,52
Oklahoma,-28,-41
Oregon,-298,138
Pennsylvania,218,72
Rhode Island,318,89
South Carolina,208,-61
South Dakota,-64,109
Tennessee,121,-34
Texas,-38,-106
Utah,-189,34
Vermont,282,144
Virginia,234,12
Washington,-277,193
West Virginia,200,20
Wisconsin,68,113
Wyoming,-154,90
